Size Time
10000 0.01
10000 0.02
10000 0.02
10000 0.01
10000 0.01
20000 0.02
20000 0.02
20000 0.02
20000 0.03
20000 0.03
40000 0.06
40000 0.06
40000 0.06
40000 0.05
40000 0.05
80000 0.12
80000 0.10
80000 0.11
80000 0.12
80000 0.12
160000 0.22
160000 0.24
160000 0.26
160000 0.26
160000 0.23
320000 0.49
320000 0.52
320000 0.50
320000 0.51
320000 0.49
