Size Time
10000 0.00
10000 0.00
10000 0.00
10000 0.00
10000 0.00
20000 0.01
20000 0.01
20000 0.00
20000 0.00
20000 0.01
40000 0.02
40000 0.02
40000 0.02
40000 0.02
40000 0.02
80000 0.05
80000 0.05
80000 0.04
80000 0.04
80000 0.05
160000 0.10
160000 0.09
160000 0.10
160000 0.09
160000 0.10
320000 0.22
320000 0.22
320000 0.28
320000 0.24
320000 0.25
640000 0.45
640000 0.51
640000 0.44
640000 0.45
640000 0.48
1280000 1.10
1280000 1.00
1280000 0.97
1280000 1.05
1280000 1.17
2560000 2.44
2560000 2.52
2560000 2.44
2560000 2.46
2560000 2.54
