Size Time
10000 0.17
10000 0.16
10000 0.15
10000 0.16
10000 0.16
20000 0.63
20000 0.64
20000 0.63
20000 0.64
20000 0.62
40000 2.97
40000 3.28
40000 2.93
40000 2.89
40000 2.80
80000 11.58
80000 11.40
80000 11.42
80000 11.37
80000 11.66
160000 45.66
160000 47.35
160000 46.42
160000 45.62
160000 43.40
320000 177.10
320000 181.43
320000 178.97
320000 177.56
320000 182.52
