Size Time
10000 0.00
10000 0.00
10000 0.00
10000 0.00
10000 0.00
20000 0.00
20000 0.00
20000 0.00
20000 0.01
20000 0.00
40000 0.02
40000 0.02
40000 0.02
40000 0.02
40000 0.02
80000 0.04
80000 0.04
80000 0.05
80000 0.04
80000 0.04
160000 0.11
160000 0.11
160000 0.15
160000 0.12
160000 0.12
320000 0.26
320000 0.24
320000 0.26
320000 0.25
320000 0.26
640000 0.51
640000 0.54
640000 0.51
640000 0.50
640000 0.67
1280000 1.20
1280000 1.21
1280000 1.18
1280000 1.28
1280000 1.26
2560000 2.76
2560000 2.74
2560000 2.94
2560000 3.08
2560000 2.88
