Size Time
10000 0.00
10000 0.00
10000 0.00
10000 0.00
10000 0.01
20000 0.01
20000 0.01
20000 0.02
20000 0.02
20000 0.01
40000 0.04
40000 0.04
40000 0.04
40000 0.04
40000 0.03
80000 0.08
80000 0.08
80000 0.08
80000 0.08
80000 0.08
160000 0.18
160000 0.16
160000 0.14
160000 0.13
160000 0.14
320000 0.31
320000 0.28
320000 0.31
320000 0.31
320000 0.34
640000 0.58
640000 0.64
640000 0.60
640000 0.56
640000 0.53
1280000 1.18
1280000 1.18
1280000 1.26
1280000 1.26
1280000 1.17
2560000 2.49
2560000 2.49
2560000 2.37
2560000 2.52
2560000 2.61
