Size Time
10000 0.00
10000 0.00
10000 0.00
10000 0.00
10000 0.00
20000 0.00
20000 0.01
20000 0.01
20000 0.00
20000 0.01
40000 0.02
40000 0.02
40000 0.02
40000 0.01
40000 0.02
80000 0.02
80000 0.04
80000 0.04
80000 0.03
80000 0.03
160000 0.08
160000 0.08
160000 0.07
160000 0.08
160000 0.07
320000 0.18
320000 0.16
320000 0.17
320000 0.19
320000 0.16
640000 0.36
640000 0.38
640000 0.33
640000 0.34
640000 0.36
1280000 0.74
1280000 0.68
1280000 0.62
1280000 0.86
1280000 0.73
2560000 1.59
2560000 1.62
2560000 1.49
2560000 1.60
2560000 1.82

