Size Time
10000 0.00
10000 0.00
10000 0.00
10000 0.00
10000 0.01
20000 0.01
20000 0.02
20000 0.01
20000 0.02
20000 0.02
40000 0.03
40000 0.04
40000 0.03
40000 0.03
40000 0.02
80000 0.07
80000 0.06
80000 0.06
80000 0.06
80000 0.06
160000 0.14
160000 0.12
160000 0.13
160000 0.14
160000 0.14
320000 0.28
320000 0.28
320000 0.26
320000 0.28
320000 0.27
640000 0.53
640000 0.50
640000 0.52
640000 0.51
640000 0.51
1280000 1.06
1280000 1.49
1280000 1.32
1280000 1.08
1280000 1.12
2560000 2.98
2560000 3.12
2560000 2.37
2560000 2.75
2560000 2.14
