Size Time
10000 0.00
10000 0.00
10000 0.00
10000 0.00
10000 0.00
20000 0.00
20000 0.00
20000 0.00
20000 0.00
20000 0.00
40000 0.02
40000 0.02
40000 0.02
40000 0.02
40000 0.02
80000 0.05
80000 0.05
80000 0.04
80000 0.05
80000 0.05
160000 0.11
160000 0.11
160000 0.11
160000 0.11
160000 0.11
320000 0.26
320000 0.25
320000 0.25
320000 0.25
320000 0.25
640000 0.62
640000 0.64
640000 0.66
640000 0.64
640000 0.60
1280000 1.45
1280000 1.42
1280000 1.29
1280000 1.28
1280000 1.32
2560000 2.83
2560000 3.24
2560000 3.00
2560000 2.77
2560000 2.81
