Size Time
10000 0.32
10000 0.30
10000 0.30
10000 0.30
10000 0.30
20000 1.24
20000 1.28
20000 1.28
20000 1.24
20000 1.26
40000 5.03
40000 5.12
40000 5.00
40000 5.02
40000 5.00
80000 20.71
80000 19.83
80000 19.89
80000 19.92
80000 19.75
160000 79.14
160000 79.20
160000 78.98
160000 79.00
160000 79.53
320000 317.12
320000 317.66
320000 316.83
320000 317.34
320000 316.64
