Size Time
10000 0.00
10000 0.00
10000 0.00
10000 0.00
10000 0.00
20000 0.00
20000 0.00
20000 0.00
20000 0.00
20000 0.00
40000 0.00
40000 0.00
40000 0.00
40000 0.00
40000 0.00
80000 0.00
80000 0.00
80000 0.00
80000 0.00
80000 0.00
160000 0.02
160000 0.01
160000 0.02
160000 0.02
160000 0.02
320000 0.04
320000 0.04
320000 0.03
320000 0.04
320000 0.04
640000 0.10
640000 0.10
640000 0.10
640000 0.09
640000 0.09
1280000 0.20
1280000 0.20
1280000 0.20
1280000 0.21
1280000 0.21
2560000 0.47
2560000 0.51
2560000 0.46
2560000 0.44
2560000 0.43
