Size Time
10000 0.00
10000 0.00
10000 0.00
10000 0.00
10000 0.00
20000 0.00
20000 0.00
20000 0.00
20000 0.00
20000 0.00
40000 0.00
40000 0.00
40000 0.00
40000 0.00
40000 0.00
80000 0.01
80000 0.01
80000 0.01
80000 0.01
80000 0.01
160000 0.02
160000 0.02
160000 0.02
160000 0.02
160000 0.02
320000 0.06
320000 0.05
320000 0.06
320000 0.05
320000 0.06
640000 0.14
640000 0.13
640000 0.13
640000 0.14
640000 0.12
1280000 0.26
1280000 0.27
1280000 0.28
1280000 0.27
1280000 0.27
2560000 0.58
2560000 0.57
2560000 0.56
2560000 0.57
2560000 0.56
