Size Time
10000 0.00
10000 0.00
10000 0.00
10000 0.00
10000 0.00
20000 0.01
20000 0.01
20000 0.00
20000 0.01
20000 0.01
40000 0.02
40000 0.02
40000 0.02
40000 0.02
40000 0.02
80000 0.04
80000 0.04
80000 0.04
80000 0.04
80000 0.04
160000 0.09
160000 0.09
160000 0.09
160000 0.09
160000 0.09
320000 0.20
320000 0.20
320000 0.20
320000 0.19
320000 0.20
640000 0.47
640000 0.49
640000 0.50
640000 0.46
640000 0.49
1280000 1.03
1280000 1.00
1280000 0.97
1280000 0.96
1280000 0.96
2560000 2.06
2560000 2.15
2560000 2.13
2560000 2.05
2560000 2.16
