Size Time
10000 0.00
10000 0.00
10000 0.00
10000 0.00
10000 0.00
20000 0.01
20000 0.01
20000 0.01
20000 0.01
20000 0.01
40000 0.03
40000 0.03
40000 0.03
40000 0.03
40000 0.03
80000 0.06
80000 0.06
80000 0.06
80000 0.06
80000 0.06
160000 0.20
160000 0.20
160000 0.20
160000 0.20
160000 0.20
320000 0.41
320000 0.40
320000 0.41
320000 0.41
320000 0.40
640000 1.56
640000 1.49
640000 1.46
640000 1.46
640000 1.46
1280000 3.04
1280000 3.03
1280000 3.15
1280000 3.10
1280000 3.09
2560000 11.58
2560000 11.94
2560000 11.32
2560000 11.54
2560000 11.42
