Size Time
10000 0.00
10000 0.00
10000 0.00
10000 0.00
10000 0.00
20000 0.00
20000 0.00
20000 0.00
20000 0.00
20000 0.00
40000 0.00
40000 0.01
40000 0.01
40000 0.01
40000 0.01
80000 0.02
80000 0.02
80000 0.02
80000 0.02
80000 0.02
160000 0.04
160000 0.04
160000 0.05
160000 0.05
160000 0.05
320000 0.11
320000 0.11
320000 0.11
320000 0.11
320000 0.11
640000 0.20
640000 0.20
640000 0.21
640000 0.20
640000 0.20
1280000 0.46
1280000 0.45
1280000 0.44
1280000 0.44
1280000 0.45
2560000 0.88
2560000 0.87
2560000 0.89
2560000 0.88
2560000 0.91
