Size Time
10000 0.00
10000 0.00
10000 0.00
10000 0.00
10000 0.00
20000 0.00
20000 0.00
20000 0.00
20000 0.00
20000 0.00
40000 0.00
40000 0.00
40000 0.00
40000 0.00
40000 0.00
80000 0.00
80000 0.01
80000 0.00
80000 0.01
80000 0.01
160000 0.02
160000 0.02
160000 0.02
160000 0.02
160000 0.02
320000 0.05
320000 0.05
320000 0.05
320000 0.05
320000 0.05
640000 0.09
640000 0.10
640000 0.09
640000 0.10
640000 0.10
1280000 0.22
1280000 0.20
1280000 0.21
1280000 0.22
1280000 0.20
2560000 0.42
2560000 0.43
2560000 0.42
2560000 0.44
2560000 0.41

