Size Time
10000 0.00
10000 0.00
10000 0.00
10000 0.00
10000 0.00
20000 0.00
20000 0.00
20000 0.00
20000 0.00
20000 0.00
40000 0.00
40000 0.00
40000 0.00
40000 0.00
40000 0.00
80000 0.01
80000 0.01
80000 0.01
80000 0.01
80000 0.01
160000 0.02
160000 0.03
160000 0.03
160000 0.02
160000 0.03
320000 0.06
320000 0.06
320000 0.06
320000 0.06
320000 0.06
640000 0.12
640000 0.12
640000 0.13
640000 0.12
640000 0.12
1280000 0.26
1280000 0.28
1280000 0.26
1280000 0.26
1280000 0.26
2560000 0.53
2560000 0.55
2560000 0.54
2560000 0.56
2560000 0.56
