Size Time
10000 0.00
10000 0.00
10000 0.00
10000 0.00
10000 0.00
20000 0.00
20000 0.00
20000 0.01
20000 0.01
20000 0.01
40000 0.02
40000 0.02
40000 0.02
40000 0.03
40000 0.02
80000 0.05
80000 0.06
80000 0.05
80000 0.05
80000 0.05
160000 0.09
160000 0.09
160000 0.09
160000 0.09
160000 0.09
320000 0.20
320000 0.19
320000 0.19
320000 0.19
320000 0.20
640000 0.41
640000 0.40
640000 0.41
640000 0.40
640000 0.40
1280000 0.84
1280000 0.83
1280000 0.85
1280000 0.84
1280000 0.86
2560000 1.50
2560000 1.48
2560000 1.48
2560000 1.50
2560000 1.48
